Player,Set,Attack_n,Attack_k,Attack_e,Block_t,Block_e,Block_k,ServeR_e,ServeR_p,ServeR_g,ServeR_ex,Serve_e,Serve_p,Serve_a,Serve_n
Max,1,7,3,3,1,0,0,2,4,2,1,0,0,0,2
Lian,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Beni,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse,1,3,0,1,0,0,0,2,1,2,0,0,0,1,3
Tobi,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Vincent,1,8,3,0,2,0,0,0,0,0,0,0,0,0,2
Marvin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jelle,2,5,1,1,3,0,2,0,0,0,0,0,0,0,2
Massi,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1
Dusan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lian,2,6,1,0,1,0,0,0,0,1,0,0,0,1,1
Luca,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beni,2,3,2,1,1,0,0,1,0,1,1,0,0,0,6
Jesse,2,6,2,0,0,0,0,1,1,1,0,0,0,0,2
Tobi,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0
Vincent,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
